"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446394946","1989-03-29","1989-03-29","Catalog coverage dates","NSR-13 - March 29, 1989 - National Security Review of International Counternarcotics Activities","90006-024","Monetary Policy, Debt, and International Institutions","Boundary review","verified","90006-024","90006-024","","true","14120073","14120073","HTTP Content-Length","Restricted - Possibly","2","1","0","0","14","74","8","15","18","0","10","12","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–024, NSR-13—March 29, 1989—National Security Review of International Counternarcotics Activities.","https://catalog.archives.gov/id/446394946","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-13-90006-024.pdf"
"446394947","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [1]","90006-025","Series context and cross-volume routing","Series context","verified","90006-025","90006-025","","true","12065481","12065481","HTTP Content-Length","Restricted - Possibly","0","2","0","0","12","50","1","10","9","0","12","9","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–025, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [1].","https://catalog.archives.gov/id/446394947","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_1-90006-025.pdf"
"446394948","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [2]","90006-026","Series context and cross-volume routing","Series context","verified","90006-026","90006-026","","true","6760542","6760542","HTTP Content-Length","Restricted - Possibly","0","3","0","0","15","15","0","13","0","0","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–026, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [2].","https://catalog.archives.gov/id/446394948","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_2-90006-026.pdf"
"446394949","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [3]","90006-027","Series context and cross-volume routing","Series context","verified","90006-027","90006-027","","true","3654412","3654412","HTTP Content-Length","Restricted - Possibly","0","2","0","0","11","9","0","9","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–027, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [3].","https://catalog.archives.gov/id/446394949","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_3-90006-027.pdf"
"446394950","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [4]","90006-028","Series context and cross-volume routing","Series context","verified","90006-028","90006-028","","true","1484530","1484530","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–028, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [4].","https://catalog.archives.gov/id/446394950","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_4-90006-028.pdf"
"446394951","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [5]","90006-029","Series context and cross-volume routing","Series context","verified","90006-029","90006-029","","true","2510448","2510448","HTTP Content-Length","Restricted - Possibly","0","1","0","0","5","4","0","4","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–029, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [5].","https://catalog.archives.gov/id/446394951","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_5-90006-029.pdf"
"446394952","1989-04-03","1989-04-03","Catalog coverage dates","NSR-14 - April 03, 1989 - Review of U.S. Arms Control Policies [6]","90006-030","Series context and cross-volume routing","Series context","verified","90006-030","90006-030","","true","2677266","2677266","HTTP Content-Length","Restricted - Possibly","1","0","0","0","27","26","0","24","0","0","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–030, NSR-14—April 03, 1989—Review of U.S. Arms Control Policies [6].","https://catalog.archives.gov/id/446394952","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-14_6-90006-030.pdf"
"446394953","1989-04-10","1989-04-10","Catalog coverage dates","NSR-15 - April 10, 1989 - South Africa[1]","90007-001","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-001","90007-001","","true","11760789","11760789","HTTP Content-Length","Restricted - Possibly","0","1","0","0","8","163","36","8","19","62","10","9","19","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–001, NSR-15—April 10, 1989—South Africa[1].","https://catalog.archives.gov/id/446394953","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-15_1-90007-001.pdf"
"446394954","1989-04-10","1989-04-10","Catalog coverage dates","NSR-15 - April 10, 1989 - South Africa[2]","90007-002","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-002","90007-002","","true","12289971","12289971","HTTP Content-Length","Restricted - Possibly","0","2","0","0","7","317","91","6","32","161","3","0","24","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–002, NSR-15—April 10, 1989—South Africa[2].","https://catalog.archives.gov/id/446394954","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-15_2-90007-002.pdf"
"446394955","1989-06-07","1989-06-07","Catalog coverage dates","NSR-16 - June 07, 1989 - Comprehensive Review of International Affairs Budget and Programs [1]","90007-003","Monetary Policy, Debt, and International Institutions","Boundary review","verified","90007-003","90007-003","","true","10733373","10733373","HTTP Content-Length","Restricted - Possibly","0","0","0","0","23","109","12","20","9","2","44","11","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–003, NSR-16—June 07, 1989—Comprehensive Review of International Affairs Budget and Programs [1].","https://catalog.archives.gov/id/446394955","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-16_1-90007-003.pdf"
