"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470761485","1991-10-08","1991-10-08","Catalog coverage dates","DC Meeting 10/8/91 11:00 am Room 208 Pan Am 103","90043-021","Series context and cross-volume routing","Series context","verified","true","902086","902086","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–021, DC Meeting 10/8/91 11:00 am Room 208 Pan Am 103.","https://catalog.archives.gov/id/470761485","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-021.pdf"
"470761486","1991-10-11","1991-10-11","Catalog coverage dates","DC Meeting 10/11/91 3:00 Room 208 Pan Am 103","90043-022","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","true","771136","771136","HTTP Content-Length","Restricted - Possibly","0","0","0","0","8","11","0","7","0","4","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–022, DC Meeting 10/11/91 3:00 Room 208 Pan Am 103.","https://catalog.archives.gov/id/470761486","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-022.pdf"
"470761487","1991-11-08","1991-11-08","Catalog coverage dates","DC Meeting 11/8/91 3:00 pm Room 208 Pan Am 103","90043-023","Series context and cross-volume routing","Series context","verified","true","648626","648626","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–023, DC Meeting 11/8/91 3:00 pm Room 208 Pan Am 103.","https://catalog.archives.gov/id/470761487","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-023.pdf"
"470761488","1991-12-12","1991-12-12","Catalog coverage dates","DC Meeting December 12, 1991 Iraaq (2 Part Meeting) Situation Room 10:00 a.m.","90043-024","Series context and cross-volume routing","Series context","verified","true","696378","696378","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","6","0","4","0","0","0","0","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–024, DC Meeting December 12, 1991 Iraaq (2 Part Meeting) Situation Room 10:00 a.m..","https://catalog.archives.gov/id/470761488","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-024.pdf"
"470761489","1991-12-30","1991-12-30","Catalog coverage dates","NSC Meeting Covert Action 12/20/91 9:45 am","90043-025","Series context and cross-volume routing","Series context","verified","true","483884","483884","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","2","0","1","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–025, NSC Meeting Covert Action 12/20/91 9:45 am.","https://catalog.archives.gov/id/470761489","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-025.pdf"
"470761491","1992-01-16","1992-01-16","Catalog coverage dates","DC Meeting-Yugoslavia 1/16/92 11:00 am Situation Room","90043-027","Series context and cross-volume routing","Series context","verified","true","616633","616633","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–027, DC Meeting-Yugoslavia 1/16/92 11:00 am Situation Room.","https://catalog.archives.gov/id/470761491","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-027.pdf"
"470761492","1992-01-27","1992-01-27","Catalog coverage dates","DC Meeting - Haiti 1/27/92 11:00 am Situation Room","90043-028","Series context and cross-volume routing","Series context","verified","true","776521","776521","HTTP Content-Length","Restricted - Possibly","0","0","0","0","6","5","0","5","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–028, DC Meeting—Haiti 1/27/92 11:00 am Situation Room.","https://catalog.archives.gov/id/470761492","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-028.pdf"
"470761493","1992-01-28","1992-01-28","Catalog coverage dates","DC Meeting - Haiti 1/28/92 2:45 p.m. Situation Room","90043-029","Series context and cross-volume routing","Series context","verified","true","707054","707054","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","4","0","4","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–029, DC Meeting—Haiti 1/28/92 2:45 p.m. Situation Room.","https://catalog.archives.gov/id/470761493","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-029.pdf"
"470761494","1992-01-29","1992-01-29","Catalog coverage dates","Small Group Meeting-Haiti Policy 1/29/92 11:00 am Situation Room","90043-030","Series context and cross-volume routing","Series context","verified","true","501680","501680","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–030, Small Group Meeting-Haiti Policy 1/29/92 11:00 am Situation Room.","https://catalog.archives.gov/id/470761494","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-030.pdf"
"470761495","1992-01-30","1992-01-30","Catalog coverage dates","DC Meeting-Haiti 1/30/92 11:00 am Situation Room","90043-031","Series context and cross-volume routing","Series context","verified","true","685227","685227","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","4","0","4","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–031, DC Meeting-Haiti 1/30/92 11:00 am Situation Room.","https://catalog.archives.gov/id/470761495","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-031.pdf"
