naid,localId,seriesNaid,seriesLocalId,seriesTitle,containerId,title,workingStartDate,workingEndDate,workingDateLabel,datePrecision,dateBasis,chapter,selection,routing,accessStatus,accessRestrictionNote,useStatus,markerStatus,markerRecordGroup,markerOffice,markerSeries,markerSubseries,markerOaId,markerFolderId,objectId,pdfBytes,ocrCharacterCount,memosToPresident,memosToScowcroft,memosToPorter,memorandaOfConversation,meetingRecords,withdrawalSheets,economicSignalTotal,tradeSignals,financeSignals,summitsSignals,transitionSignals,controlsSignals,reviewTopics,reviewFocus,economicSubjectLeads,archivalLocator,catalogUrl,pdfUrl
509547495,08566-007,2600847,GB-POD-029,Johannes Kuttner Subject Files,08566,Magazine: National Review 1/22/90 - 11/30/92 [not inclusive],1990-01-22,1990-01-22,"January 22, 1990",day,Explicit folder-title date controls the apparent Catalog conflict beginning 1992-01-22,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Johannes Kuttner Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Johannes Kuttner Subject Files, OA/ID 08566–007, Magazine: National Review 1/22/90 - 11/30/92 [not inclusive].",https://catalog.archives.gov/id/509547495,
509545497,04939-089,505628526,GB-POD-041,James Pinkerton Chronological Files,04939,National Prayer Breakfast 2/1/90,1990-02-01,1990-02-01,"February 1, 1990",day,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | James Pinkerton Chronological Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–089, National Prayer Breakfast 2/1/90.",https://catalog.archives.gov/id/509545497,
653628669,05841-012,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/3,Porter - Feb-90 [February 1990],1990-02-01,1990-02-28,February 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-012,653628670,11605996,40795,0,0,20,0,0,0,2,2,0,0,0,0,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–012, Porter - Feb-90 [February 1990].",https://catalog.archives.gov/id/653628669,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-012.pdf
509545433,04560-012,406218354,GB-POD-008,Will Eagle Files,04560,[AT&T Home-Office Resources Vol. 7 February 1990],1990-02-01,1990-02-28,February 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Will Eagle Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Will Eagle Files, OA/ID 04560–012, [AT&T Home-Office Resources Vol. 7 February 1990].",https://catalog.archives.gov/id/509545433,
509547103,08179-021,2600911,GB-POD-060,Gina Willis' Subject Files,08179,"U.T. Speech Feb. 2, 1990 [Lamar Alexander]",1990-02-02,1990-02-02,"February 2, 1990",day,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Gina Willis' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Gina Willis' Subject Files, OA/ID 08179–021, U.T. Speech Feb. 2, 1990 [Lamar Alexander].",https://catalog.archives.gov/id/509547103,
509545498,04939-094,505628526,GB-POD-041,James Pinkerton Chronological Files,04939,Intergovernmental Panel on Climate Change 2/5/90,1990-02-05,1990-02-05,"February 5, 1990",day,Explicit folder-title date,Economic Summits and Industrialized-Country Cooperation,Consider,Selective review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | James Pinkerton Chronological Files | Global environment,"Finding-aid lead retained because of global climate or summit-environment title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–094, Intergovernmental Panel on Climate Change 2/5/90.",https://catalog.archives.gov/id/509545498,
509547355,08302-027,2600911,GB-POD-060,Gina Willis' Subject Files,08302,National Education Goals Panel - National Goals 2/26/90,1990-02-26,1990-02-26,"February 26, 1990",day,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Gina Willis' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Gina Willis' Subject Files, OA/ID 08302–027, National Education Goals Panel - National Goals 2/26/90.",https://catalog.archives.gov/id/509547355,
509545499,04939-111,505628526,GB-POD-041,James Pinkerton Chronological Files,04939,Growing Up Drug Free 2/26/90,1990-02-26,1990-02-26,"February 26, 1990",day,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | James Pinkerton Chronological Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–111, Growing Up Drug Free 2/26/90.",https://catalog.archives.gov/id/509545499,
509545883,06673-016,2600820,GB-POD-022,Ed Goldstein Subject Files,06673,Commercial Space Resource Document 3/90,1990-03-01,1990-03-31,March 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Ed Goldstein Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06673–016, Commercial Space Resource Document 3/90.",https://catalog.archives.gov/id/509545883,
509545884,06673-017,2600820,GB-POD-022,Ed Goldstein Subject Files,06673,Space - Rockwell International 1990,1990-03-01,1990-03-31,"March 1, 1990-March 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Ed Goldstein Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Ed Goldstein Subject Files, OA/ID 06673–017, Space - Rockwell International 1990.",https://catalog.archives.gov/id/509545884,
