"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470761113","1990-05-02","1990-05-02","Catalog coverage dates","NSC/DC 121 - May 02, 1990 - NSC/DC Meeting on NSR 18 / Counterintelligence and Security Countermeasures, Keywords: Counterintelligence","90014-010","Series context and cross-volume routing","Series context","verified","true","17856804","17856804","HTTP Content-Length","Restricted - Possibly","0","0","0","39","17","66","0","15","9","0","9","5","28","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–010, NSC/DC 121—May 02, 1990—NSC/DC Meeting on NSR 18 / Counterintelligence and Security Countermeasures, Keywords: Counterintelligence.","https://catalog.archives.gov/id/470761113","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-121-90014-010.pdf"
"470761114","1990-05-02","1990-05-02","Catalog coverage dates","NSC/DC 122 - May 02, 1990 - NSC/DC Meeting on Liberia, Keywords: Libya","90014-011","Series context and cross-volume routing","Series context","verified","true","9830112","9830112","HTTP Content-Length","Restricted - Possibly","0","0","0","14","8","11","0","7","1","0","0","0","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–011, NSC/DC 122—May 02, 1990—NSC/DC Meeting on Liberia, Keywords: Libya.","https://catalog.archives.gov/id/470761114","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-122-90014-011.pdf"
"470761116","1990-05-07","1990-05-07","Catalog coverage dates","NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)","90014-013","Series context and cross-volume routing","Series context","verified","true","5434788","5434788","HTTP Content-Length","Restricted - Possibly","0","0","0","4","19","36","0","17","12","7","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–013, NSC/DC 124—May 07, 1990—NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM).","https://catalog.archives.gov/id/470761116","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf"
"470761117","1990-05-08","1990-05-08","Catalog coverage dates","NSC/DC 125 - May 08, 1990 - NSC/DC Meeting on U.S.-Soviet Relations, Keywords: USSR","90014-014","Series context and cross-volume routing","Series context","verified","true","13473188","13473188","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","88","6","7","17","1","26","12","19","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–014, NSC/DC 125—May 08, 1990—NSC/DC Meeting on U.S.-Soviet Relations, Keywords: USSR.","https://catalog.archives.gov/id/470761117","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-125-90014-014.pdf"
"470761118","1990-05-09","1990-05-09","Catalog coverage dates","NSC/DC 126 - May 09, 1990 - NSC/DC Meeting on Counternarcotic Interdiction in Latin America via SVTS, Keywords: Drugs, Latin America, Counternarcotics","90014-015","Series context and cross-volume routing","Series context","verified","true","2880139","2880139","HTTP Content-Length","Restricted - Possibly","0","0","0","7","7","6","0","6","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–015, NSC/DC 126—May 09, 1990—NSC/DC Meeting on Counternarcotic Interdiction in Latin America via SVTS, Keywords: Drugs, Latin America, Counternarcotics.","https://catalog.archives.gov/id/470761118","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-126-90014-015.pdf"
"470761119","1990-05-10","1990-05-10","Catalog coverage dates","NSC/DC 127 - May 10, 1990 - NSC/DC Meeting on Sensitive Subject, Keywords: No Data Available","90014-016","Series context and cross-volume routing","Series context","verified","true","398364","398364","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–016, NSC/DC 127—May 10, 1990—NSC/DC Meeting on Sensitive Subject, Keywords: No Data Available.","https://catalog.archives.gov/id/470761119","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-127-90014-016.pdf"
"470761120","1990-05-14","1990-05-14","Catalog coverage dates","NSC/DC 128 - May 14, 1990 - NSC/DC Meeting on TV MARTI, Keywords: Broadcasting","90014-017","Series context and cross-volume routing","Series context","verified","true","13710856","13710856","HTTP Content-Length","Restricted - Possibly","2","0","0","18","23","22","0","20","2","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–017, NSC/DC 128—May 14, 1990—NSC/DC Meeting on TV MARTI, Keywords: Broadcasting.","https://catalog.archives.gov/id/470761120","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-128-90014-017.pdf"
"470761121","1990-05-23","1990-05-23","Catalog coverage dates","NSC/DC 129 - May 23, 1990 - NSC/DC Meeting on POW/MIA Policy, Keywords: POWs","90014-018","Series context and cross-volume routing","Series context","verified","true","19940336","19940336","HTTP Content-Length","Restricted - Possibly","0","0","0","27","32","28","0","28","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–018, NSC/DC 129—May 23, 1990—NSC/DC Meeting on POW/MIA Policy, Keywords: POWs.","https://catalog.archives.gov/id/470761121","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-129-90014-018.pdf"
"470761122","1990-05-24","1990-05-24","Catalog coverage dates","NSC/DC 130 - May 24, 1990 - NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia","90014-019","Series context and cross-volume routing","Series context","verified","true","5710455","5710455","HTTP Content-Length","Restricted - Possibly","0","0","0","3","3","2","0","2","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–019, NSC/DC 130—May 24, 1990—NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia.","https://catalog.archives.gov/id/470761122","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-130-90014-019.pdf"
"470761123","1990-05-25","1990-05-25","Catalog coverage dates","NSC/DC 131 - May 25, 1990 - NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia","90014-020","Series context and cross-volume routing","Series context","verified","true","1703280","1703280","HTTP Content-Length","Restricted - Possibly","0","0","0","2","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–020, NSC/DC 131—May 25, 1990—NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia.","https://catalog.archives.gov/id/470761123","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-131-90014-020.pdf"
